21080,KLIMPFJALL,3,65.067,14.8
21150,STORLIEN-VISJOVALE,3,63.3,12.133
21170,NORDMALING,3,63.567,19.5
21190,UMEA,3,63.8,20.283
21200,KVIKKJOKK-ARRENJARK,3,66.883,17.75
21230,EDSBYN,3,61.383,15.833
21250,OSTMARK,3,60.317,12.7
21280,GUNNARN,3,65.016,17.683
21290,GUNNARN SOL (AUT),3,64.967,17.7
21330,SNAVLUNDA,3,58.967,14.9
21350,BURESJON,3,65.567,17.867
21440,ABRAUR,3,65.9,19.1
21470,MALA-BRANNAN,3,65.15,18.6
21480,NORRKOPING/BRAVALLA,3,58.617,16.117
21490,ARVIDSJAUR,3,65.6,19.267
21500,NYKOPING/SKAVST AFB,3,58.783,16.917
21510,JOKKMOKK FPL,3,66.483,20.167
21520,SUDOK,3,66.3,20.417
21540,VIDSEL,3,65.883,20.15
21550,HAGSHULT (SWE-AFB),3,57.3,14.133
21610,NATTAVAARA,3,66.75,20.933
21630,LJUNGBYHED(SWE-AFB),3,56.083,13.233
21660,RONNEBY (SWE-AFB),3,56.267,15.283
21670,FALSTERBO (LGT-H),3,55.383,12.817
21730,ALVSBYN,3,65.667,21.067
21740,LAKATRASK,3,66.283,21.133
21760,PITE-RONNSKAR,3,65.033,21.567
21810,OVERKALIX SVARTBYN,3,66.267,22.85
21860,LULEA-KALLAX,3,65.55,22.133
21910,STORON,3,65.7,23.1
21960,HAPARANDA,3,65.833,24.15
21990,YLINENJARVI,3,66.617,23.467
22060,STORLIEN,3,63.3,12.117
22220,GADDEDE,3,64.5,14.167
22260,OSTERSUND FROSON,3,63.2,14.5
22300,GUBBHOGEN,3,64.217,15.55
22310,FOLLINGE,3,63.683,14.6
22320,NORRAKER,3,64.45,15.6
22340,STROMSUND,3,63.867,15.583
22360,HALLHAXASEN,3,63.767,15.333
22420,HOTING,3,64.083,16.233
22440,JUNSELE,3,63.683,16.95
22450,VILHELMINA,3,64.583,16.85
22470,KRANGEDE,3,63.15,16.167
22520,IDVATTNET,3,64.45,17.083
22590,KRAMFORS (SWE-AFB),3,63.05,17.767
22600,VASTMARKUM,3,63.133,18.25
22610,LYCKSELE,3,64.55,18.717
22640,FREDRIKA,3,64.083,18.417
22650,HEMLING,3,63.65,18.55
22670,ORNSKOLDSVIK ARPT,3,63.4,18.967
22690,SKAGSUDDE,3,63.183,19.017
22710,NORSJO,3,64.933,19.383
22740,VINDELN,3,64.217,19.717
22760,NORDMALING,3,63.567,19.5
22780,SKAGSUDDE (LGT-H),3,63.183,19.017
22820,PETISTRASK,3,64.566,19.7
22840,JARNASKLUBB,3,63.433,19.683
22860,UMEA,3,63.8,20.283
22861,SODERHAMN,3,61.25,17.1
22870,HOLMON,3,63.817,20.867
22880,HOLMOGADD,3,63.6,20.75
22930,SKELLEFTEA,3,64.599,21.067
22960,BJUROKLUBB (LGT-H),3,64.483,21.583
22970,BJUROKLUBB,3,64.483,21.583
22980,SVARTEBORG,3,58.567,11.55
23050,NASHUVUD,3,58.9,13.25
23060,RORBACKSNAS,3,61.133,12.817
23160,SARNA,3,61.7,13.183
23170,DRAVAGEN,3,62.1,13.617
23190,BORTNAN,3,62.75,13.85
23210,ALVDALEN,3,61.25,14.033
23240,SVEG,3,62.017,14.367
23290,HAMRA,3,61.667,15
23310,HUNGE,3,62.75,15.083
23330,LJUNGBY,3,56.833,13.917
23360,EDSBYN,3,61.383,15.833
23370,NORRHOG,3,62.283,15.667
23380,EDSBYN,3,61.367,15.717
23430,TORPSHAMMAR,3,62.5,16.283
23470,DELSBO,3,61.833,16.55
23550,KUGGOREN,3,61.7,17.533
23660,TIMRA/MIDLANDA,3,62.517,17.45
23680,BRAMON,3,62.217,17.75
23760,SODERHAMN (SWE-AFB),3,61.267,17.1
23780,SODERHAMN FLYGPLATS,3,61.45,17.167
23820,LUNGO,3,62.65,18.1
24000,OSTMARK,3,60.35,12.65
24030,NAVEN,3,58.7,13.117
24040,ARVIKA,3,59.667,12.583
24060,BLOMSKOG,3,59.283,12.05
24080,BLOMSKOG,3,59.217,12.083
24090,AMAL,3,59.05,12.7
24100,MALUNG,3,60.683,13.717
24110,ARVIKA,3,59.667,12.633
24150,KARLSTAD SOL,3,59.367,13.467
24180,KARLSTAD FLYGPLATS,3,59.45,13.467
24230,SUNNE,3,59.867,13.117
24240,STALLDALEN,3,59.95,14.95
24260,GUSTAVSFORS,3,60.15,13.8
24283,OREBRO,3,59.217,15.033
24290,DAGLOSEN,3,59.667,14.183
24320,OREBRO,3,59.233,15.05
24350,BORLANGE,3,60.433,15.517
24360,OREBRO/EKEBY (DEAD),3,59.267,15.333
24400,AMOT,3,60.967,16.433
24410,MORA,3,60.967,14.5
24440,FOLKARNA,3,60.167,16.317
24460,VASTERAS/HASSLO AFB,3,59.583,16.633
24500,EGGEGRUND,3,60.733,17.567
24520,KILSBERGEN-SUTTARBOD,3,59.3,14.9
24530,GAVLE,3,60.717,17.167
24560,FILM,3,60.233,17.9
24580,UPPSALA,3,59.9,17.6
24600,STOCKHOLM/ARLANDA,3,59.65,17.95
24640,STOCKHOLM/BROMMA,3,59.367,17.9
24680,STORA SPANSBERGET,3,60.383,15.133
24690,TULLINGE,3,59.183,17.917
24740,SINGO ISLAND,3,60.167,18.75
24760,FLODA,3,59.05,16.4
24810,SALA,3,59.917,16.683
24820,KERSTINBO,3,60.267,16.983
24853,SKAVSTA,3,58.783,16.9
24860,ADELSO,3,59.367,17.517
24880,ORSKAR,3,60.533,18.383
24900,SVANBERGA,3,59.833,18.633
24960,SVENSKA HOGARNA,3,59.45,19.5
25000,NORDKOSTER,3,58.9,11
25050,MASESKAR,3,58.1,11.333
25080,MASESKAR (LGT-H),3,58.1,11.35
25103,TROLLHATTAN VANERSB,3,58.317,12.333
25105,DATSAV3 VIRT STATION (SINGAPORE),4,1.383,103.717
25120,GOTEBORG/SAVE,3,57.783,11.883
25130,GOTEBORG,3,57.717,12
25160,VINGA,3,57.633,11.617
25180,NIDINGEN,3,57.3,11.9
25200,SATENAS,3,58.433,12.717
25230,TROLLHATTAN/VANERS,3,58.317,12.333
25240,MOLLA,3,57.933,13.067
25260,GOTEBORG/LANDVETTER,3,57.667,12.3
25300,NASHUVUD,3,58.9,13.25
25350,SKOVDE AIRPORT,3,58.45,13.967
25360,RANGEDALA,3,57.783,13.167
25410,SNAVLUNDA,3,58.967,14.9
25420,HALLUM,3,58.317,13.033
25440,KARLSBORG(SAFB),3,58.517,14.533
25480,VISINGSO,3,58.1,14.417
25490,TOMTABACKEN,3,57.5,14.467
25500,JONKOPING/AXAMO,3,57.75,14.083
25520,MALEXANDER,3,58.067,15.233
25540,KETTSTAKA,3,58.717,15.033
25550,NASSJO,3,57.65,14.7
25560,HAGSHULT,3,57.3,14.133
25580,KOLMARDEN-STROMSFOR,3,58.683,16.317
25590,GLADHAMMAR,3,57.7,16.467
25620,LINKOPING/MALMSLATT,3,58.4,15.533
25625,SAAB,3,58.4,15.667
25630,HARSTENA,3,58.25,17.017
25635,ANGELHOLM,3,56.3,12.85
25640,MALEXANDER,3,58.067,15.233
25660,MALILLA,3,57.4,15.817
25670,LANDSORT,3,58.75,17.867
25700,NORRKOPING/BRAVALLA,3,58.617,16.117
25710,NORRKOPING/KUNGSANG,3,58.583,16.149
