20130,RITSEM,3,67.733,17.467,533,Europe/Stockholm
20200,KATTERJAKK,3,68.417,18.167,517,Europe/Stockholm
20240,STORA SJOFALLET,3,67.5,18.3,425,Europe/Stockholm
20430,ESRANGE,3,67.933,21.067,341,Europe/Stockholm
20440,KIRUNA,3,67.817,20.333,447,Europe/Stockholm
20490,GALLIVARE,3,67.15,20.65,360,Europe/Stockholm
20500,KATTERJAKK,3,68.417,18.167,517,Europe/Stockholm
20550,NAIMAKKA,3,68.683,21.533,402,Europe/Helsinki
20570,KALLAX/LULEA (AFB),3,65.55,22.133,17,Europe/Stockholm
20580,HAPARANDA,3,65.833,24.15,7,Europe/Helsinki
20600,NAIMAKKA,3,68.683,21.533,403,Europe/Helsinki
20620,OSTERSUND FROSON AB,3,63.183,14.5,376,Europe/Stockholm
20640,SAITTAROVA,3,67.333,22.233,240,Europe/Stockholm
20650,SVEG,3,62.033,14.367,360,Europe/Stockholm
20660,SUNDSVALL/HARNOSAND,3,62.533,17.45,4,Europe/Stockholm
20690,SODERHAMN (SWE-AFB),3,61.267,17.1,26,Europe/Stockholm
20730,KARLSTAD,3,59.367,13.467,46,Europe/Stockholm
20740,OREBRO/EKEBY,3,59.267,15.333,33,Europe/Stockholm
20750,VASTERAS/HASSLO AFB,3,59.583,16.633,6,Europe/Stockholm
20760,UPPSALA,3,59.883,17.6,21,Europe/Stockholm
20770,STOCKHOLM/BROMMA,3,59.35,17.95,15,Europe/Stockholm
20790,SATENAS (SWE-AFB),3,58.433,12.7,54,Europe/Stockholm
20800,KARESUANDO,3,68.45,22.45,331,Europe/Stockholm
20820,LANDSORT,3,58.75,17.867,32,Europe/Stockholm
20830,GOTSKA SANDON,3,58.4,19.2,12,Europe/Stockholm
20840,LANNAVAARA,3,68.05,22,360,Europe/Stockholm
20860,LAINIO,3,67.767,22.35,325,Europe/Stockholm
20870,JONKOPING,3,57.767,14.083,226,Europe/Stockholm
20880,KOMPELUSVAARA,3,67.083,22.217,263,Europe/Stockholm
20890,OLANDS NORRA UDDE,3,57.367,17.1,4,Europe/Stockholm
20900,VISBY,3,57.667,18.35,51,Europe/Stockholm
20910,KULLEN (LGT-H),3,56.3,12.45,72,Europe/Stockholm
20920,MUODOSLOMPOLO,3,67.95,23.467,240,Europe/Stockholm
20940,UNGSKAR,3,56.033,15.8,1,Europe/Stockholm
20950,KALMAR,3,56.683,16.3,6,Europe/Stockholm
20960,PAJALA,3,67.217,23.4,168,Europe/Stockholm
20980,MALMO/STURUP,3,55.55,13.367,72,Europe/Stockholm
20990,YSTAD,3,55.433,13.833,34,Europe/Stockholm
21020,STEKENJOKK,3,65.099,14.517,1036,Europe/Stockholm
21040,HEMAVAN,3,65.8,15.1,473,Europe/Stockholm
21080,KLIMPFJALL,3,65.067,14.8,560,Europe/Stockholm
21150,STORLIEN-VISJOVALE,3,63.3,12.133,640,Europe/Stockholm
21170,NORDMALING,3,63.567,19.5,6,Europe/Stockholm
21190,UMEA,3,63.8,20.283,7,Europe/Stockholm
21200,KVIKKJOKK-ARRENJARK,3,66.883,17.75,315,Europe/Stockholm
21230,EDSBYN,3,61.383,15.833,163,Europe/Stockholm
21250,OSTMARK,3,60.317,12.7,178,Europe/Stockholm
21280,GUNNARN,3,65.016,17.683,283,Europe/Stockholm
21290,GUNNARN SOL (AUT),3,64.967,17.7,278,Europe/Stockholm
21330,SNAVLUNDA,3,58.967,14.9,144,Europe/Stockholm
21350,BURESJON,3,65.567,17.867,393,Europe/Stockholm
21440,ABRAUR,3,65.9,19.1,342,Europe/Stockholm
21470,MALA-BRANNAN,3,65.15,18.6,363,Europe/Stockholm
21480,NORRKOPING/BRAVALLA,3,58.617,16.117,27,Europe/Stockholm
21490,ARVIDSJAUR,3,65.6,19.267,384,Europe/Stockholm
21500,NYKOPING/SKAVST AFB,3,58.783,16.917,42,Europe/Stockholm
21510,JOKKMOKK FPL,3,66.483,20.167,275,Europe/Stockholm
21520,SUDOK,3,66.3,20.417,174,Europe/Stockholm
21540,VIDSEL,3,65.883,20.15,182,Europe/Stockholm
21550,HAGSHULT (SWE-AFB),3,57.3,14.133,169,Europe/Stockholm
21610,NATTAVAARA,3,66.75,20.933,327,Europe/Stockholm
21630,LJUNGBYHED(SWE-AFB),3,56.083,13.233,43,Europe/Stockholm
21660,RONNEBY (SWE-AFB),3,56.267,15.283,58,Europe/Stockholm
21670,FALSTERBO (LGT-H),3,55.383,12.817,5,Europe/Stockholm
21730,ALVSBYN,3,65.667,21.067,43,Europe/Stockholm
21740,LAKATRASK,3,66.283,21.133,186,Europe/Stockholm
21760,PITE-RONNSKAR,3,65.033,21.567,4,Europe/Stockholm
21810,OVERKALIX SVARTBYN,3,66.267,22.85,62,Europe/Stockholm
21860,LULEA-KALLAX,3,65.55,22.133,17,Europe/Stockholm
21910,STORON,3,65.7,23.1,4,Europe/Stockholm
21960,HAPARANDA,3,65.833,24.15,6,Europe/Helsinki
21990,YLINENJARVI,3,66.617,23.467,132,Europe/Stockholm
22060,STORLIEN,3,63.3,12.117,644,Europe/Stockholm
22220,GADDEDE,3,64.5,14.167,330,Europe/Stockholm
22260,OSTERSUND FROSON,3,63.2,14.5,359,Europe/Stockholm
22300,GUBBHOGEN,3,64.217,15.55,310,Europe/Stockholm
22310,FOLLINGE,3,63.683,14.6,362,Europe/Stockholm
22320,NORRAKER,3,64.45,15.6,346,Europe/Stockholm
22340,STROMSUND,3,63.867,15.583,346,Europe/Stockholm
22360,HALLHAXASEN,3,63.767,15.333,376,Europe/Stockholm
22420,HOTING,3,64.083,16.233,241,Europe/Stockholm
22440,JUNSELE,3,63.683,16.95,217,Europe/Stockholm
22450,VILHELMINA,3,64.583,16.85,349,Europe/Stockholm
22470,KRANGEDE,3,63.15,16.167,184,Europe/Stockholm
22520,IDVATTNET,3,64.45,17.083,353,Europe/Stockholm
