20820,LANDSORT,3,58.75,17.867,32,2
20830,GOTSKA SANDON,3,58.4,19.2,12,2
20840,LANNAVAARA,3,68.05,22,360,2
20860,LAINIO,3,67.767,22.35,325,2
20870,JONKOPING,3,57.767,14.083,226,2
20880,KOMPELUSVAARA,3,67.083,22.217,263,2
20890,OLANDS NORRA UDDE,3,57.367,17.1,4,2
20900,VISBY,3,57.667,18.35,51,2
20910,KULLEN (LGT-H),3,56.3,12.45,72,2
20920,MUODOSLOMPOLO,3,67.95,23.467,240,2
20940,UNGSKAR,3,56.033,15.8,1,2
20950,KALMAR,3,56.683,16.3,6,2
20960,PAJALA,3,67.217,23.4,168,2
20980,MALMO/STURUP,3,55.55,13.367,72,2
20990,YSTAD,3,55.433,13.833,34,2
21020,STEKENJOKK,3,65.099,14.517,1036,2
21040,HEMAVAN,3,65.8,15.1,473,2
21080,KLIMPFJALL,3,65.067,14.8,560,2
21150,STORLIEN-VISJOVALE,3,63.3,12.133,640,2
21170,NORDMALING,3,63.567,19.5,6,2
21190,UMEA,3,63.8,20.283,7,2
21200,KVIKKJOKK-ARRENJARK,3,66.883,17.75,315,2
21230,EDSBYN,3,61.383,15.833,163,2
21250,OSTMARK,3,60.317,12.7,178,2
21280,GUNNARN,3,65.016,17.683,283,2
21290,GUNNARN SOL (AUT),3,64.967,17.7,278,2
21330,SNAVLUNDA,3,58.967,14.9,144,2
21350,BURESJON,3,65.567,17.867,393,2
21440,ABRAUR,3,65.9,19.1,342,2
21470,MALA-BRANNAN,3,65.15,18.6,363,2
21480,NORRKOPING/BRAVALLA,3,58.617,16.117,27,2
21490,ARVIDSJAUR,3,65.6,19.267,384,2
21500,NYKOPING/SKAVST AFB,3,58.783,16.917,42,2
21510,JOKKMOKK FPL,3,66.483,20.167,275,2
21520,SUDOK,3,66.3,20.417,174,2
21540,VIDSEL,3,65.883,20.15,182,2
21550,HAGSHULT (SWE-AFB),3,57.3,14.133,169,2
21610,NATTAVAARA,3,66.75,20.933,327,2
21630,LJUNGBYHED(SWE-AFB),3,56.083,13.233,43,2
21660,RONNEBY (SWE-AFB),3,56.267,15.283,58,2
21670,FALSTERBO (LGT-H),3,55.383,12.817,5,2
21730,ALVSBYN,3,65.667,21.067,43,2
21740,LAKATRASK,3,66.283,21.133,186,2
21760,PITE-RONNSKAR,3,65.033,21.567,4,2
21810,OVERKALIX SVARTBYN,3,66.267,22.85,62,2
21860,LULEA-KALLAX,3,65.55,22.133,17,2
21910,STORON,3,65.7,23.1,4,2
21960,HAPARANDA,3,65.833,24.15,6,3
21990,YLINENJARVI,3,66.617,23.467,132,2
22060,STORLIEN,3,63.3,12.117,644,2
22220,GADDEDE,3,64.5,14.167,330,2
22260,OSTERSUND FROSON,3,63.2,14.5,359,2
22300,GUBBHOGEN,3,64.217,15.55,310,2
22310,FOLLINGE,3,63.683,14.6,362,2
22320,NORRAKER,3,64.45,15.6,346,2
22340,STROMSUND,3,63.867,15.583,346,2
22360,HALLHAXASEN,3,63.767,15.333,376,2
22420,HOTING,3,64.083,16.233,241,2
22440,JUNSELE,3,63.683,16.95,217,2
22450,VILHELMINA,3,64.583,16.85,349,2
22470,KRANGEDE,3,63.15,16.167,184,2
22520,IDVATTNET,3,64.45,17.083,353,2
22590,KRAMFORS (SWE-AFB),3,63.05,17.767,19,2
22600,VASTMARKUM,3,63.133,18.25,143,2
22610,LYCKSELE,3,64.55,18.717,211,2
22640,FREDRIKA,3,64.083,18.417,300,2
22650,HEMLING,3,63.65,18.55,183,2
22670,ORNSKOLDSVIK ARPT,3,63.4,18.967,103,2
22690,SKAGSUDDE,3,63.183,19.017,11,2
22710,NORSJO,3,64.933,19.383,310,2
22740,VINDELN,3,64.217,19.717,206,2
